id,masterCategory,subCategory,articleType,,,,,,,
24308,Apparel,Bottomwear,Shorts,,,,,,,
39685,Footwear,Shoes,Casual Shoes,,,,,,,
4018,Footwear,Shoes,Casual Shoes,,,,,,,
59760,Footwear,Shoes,Heels,,,,,,,
23549,Personal Care,Fragrance,Deodorant,,,,,,,
48878,Accessories,Jewellery,Pendant,,,,,,,
51169,Accessories,Socks,Socks,,,,,,,
29073,Accessories,Bags,Backpacks,,,,,,,
26807,Apparel,Bottomwear,Trousers,,,,,,,
18734,Apparel,Topwear,Tops,,,,,,,
50887,Apparel,Saree,Sarees,,,,,,,
9363,Accessories,Socks,Socks,,,,,,,
51955,Accessories,Bags,Handbags,,,,,,,
3659,Footwear,Shoes,Casual Shoes,,,,,,,
15817,Apparel,Innerwear,Innerwear Vests,,,,,,,
32609,Accessories,Wallets,Wallets,,,,,,,
38333,Apparel,Topwear,Tops,,,,,,,
59304,Apparel,Topwear,Shirts,,,,,,,
1932,Footwear,Shoes,Casual Shoes,,,,,,,
44689,Apparel,Topwear,Tshirts,,,,,,,
21810,Accessories,Wallets,Wallets,,,,,,,
37975,Footwear,Shoes,Casual Shoes,,,,,,,
15219,Footwear,Shoes,Casual Shoes,,,,,,,
56942,Footwear,Shoes,Heels,,,,,,,
57890,Personal Care,Skin Care,Eye Cream,,,,,,,
28393,Accessories,Eyewear,Sunglasses,,,,,,,
50289,Accessories,Ties,Ties,,,,,,,
6119,Accessories,Bags,Backpacks,,,,,,,
12800,Apparel,Topwear,Tshirts,,,,,,,
29241,Footwear,Shoes,Sports Shoes,,,,,,,
9151,Apparel,Topwear,Tops,,,,,,,
54629,Accessories,Watches,Watches,,,,,,,
26209,Personal Care,Fragrance,Perfume and Body Mist,,,,,,,
8083,Footwear,Shoes,Sports Shoes,,,,,,,
27921,Apparel,Bottomwear,Trousers,,,,,,,
28155,Accessories,Eyewear,Sunglasses,,,,,,,
17788,Accessories,Socks,Socks,,,,,,,
31844,Accessories,Watches,Watches,,,,,,,
29087,Accessories,Wallets,Wallets,,,,,,,
13328,Apparel,Topwear,Shirts,,,,,,,
28969,Apparel,Apparel Set,Kurta Sets,,,,,,,
9397,Footwear,Shoes,Sports Shoes,,,,,,,
50873,Apparel,Saree,Sarees,,,,,,,
8245,Footwear,Flip Flops,Flip Flops,,,,,,,
31078,Accessories,Stoles,Stoles,,,,,,,
49162,Personal Care,Makeup,Kajal and Eyeliner,,,,,,,
19612,Apparel,Topwear,Tshirts,,,,,,,
39215,Apparel,Topwear,Tops,,,,,,,
14931,Apparel,Bottomwear,Shorts,,,,,,,
4488,Footwear,Shoes,Sports Shoes,,,,,,,
58222,Apparel,Bottomwear,Jeans,,,,,,,
39027,Accessories,Watches,Watches,,,,,,,
25478,Footwear,Shoes,Sports Shoes,,,,,,,
36853,Apparel,Topwear,Shirts,,,,,,,
57058,Apparel,Dress,Dresses,,,,,,,
37981,Apparel,Topwear,Tshirts,,,,,,,
20936,Accessories,Bags,Backpacks,,,,,,,
41901,Personal Care,Fragrance,Perfume and Body Mist,,,,,,,
57864,Personal Care,Skin Care,Sunscreen,,,,,,,
5768,Apparel,Bottomwear,Jeans,,,,,,,
58010,Apparel,Topwear,Tops,,,,,,,
28367,Free Items,Free Gifts,Free Gifts,,,,,,,
9999,Apparel,Topwear,Tops,,,,,,,
13926,Accessories,Watches,Watches,,,,,,,
46318,Accessories,Watches,Watches,,,,,,,
16468,Apparel,Topwear,Shirts,,,,,,,
19420,Apparel,Bottomwear,Shorts,,,,,,,
7803,Apparel,Topwear,Tshirts,,,,,,,
8077,Footwear,Flip Flops,Flip Flops,,,,,,,
44817,Footwear,Shoes,Casual Shoes,,,,,,,
33179,Apparel,Topwear,Tops,,,,,,,
38591,Apparel,Topwear,Tshirts,,,,,,,
52972,Apparel,Saree,Sarees,,,,,,,
11229,Accessories,Watches,Watches,,,,,,,
58474,Accessories,Wallets,Wallets,,,,,,,
33945,Apparel,Topwear,Tshirts,,,,,,,
25820,Apparel,Topwear,Kurtas,,,,,,,
19878,Footwear,Flip Flops,Flip Flops,,,,,,,
22239,Footwear,Shoes,Casual Shoes,,,,,,,
28703,Apparel,Topwear,Kurtas,,,,,,,
2915,Apparel,Topwear,Tops,,,,,,,
50619,Apparel,Innerwear,Briefs,,,,,,,
6589,Apparel,Topwear,Tshirts,,,,,,,
19044,Footwear,Shoes,Heels,,,,,,,
8413,Apparel,Topwear,Tshirts,,,,,,,
16830,Apparel,Topwear,Tshirts,,,,,,,
49734,Accessories,Ties,Ties,,,,,,,
2129,Apparel,Topwear,Shirts,,,,,,,
18196,Apparel,Bottomwear,Trousers,,,,,,,
55965,Personal Care,Lips,Lipstick,,,,,,,
7669,Apparel,Topwear,Tshirts,,,,,,,
28531,Apparel,Topwear,Tshirts,,,,,,,
49506,Footwear,Shoes,Casual Shoes,,,,,,,
22837,Footwear,Shoes,Casual Shoes,,,,,,,
35880,Apparel,Topwear,Tshirts,,,,,,,
55159,Personal Care,Nails,Nail Polish,,,,,,,
19276,Accessories,Watches,Watches,,,,,,,
27579,Apparel,Topwear,Tshirts,,,,,,,
34952,Apparel,Saree,Sarees,,,,,,,
5902,Footwear,Shoes,Casual Shoes,,,,,,,
32299,Accessories,Watches,Watches,,,,,,,
39671,Footwear,Shoes,Sports Shoes,,,,,,,
14569,Footwear,Shoes,Casual Shoes,,,,,,,
58646,Apparel,Topwear,Kurtas,,,,,,,
44219,Apparel,Topwear,Tshirts,,,,,,,
11827,Footwear,Shoes,Casual Shoes,,,,,,,
59794,Apparel,Topwear,Tunics,,,,,,,
17571,Apparel,Topwear,Shirts,,,,,,,
9952,Apparel,Topwear,Tshirts,,,,,,,
23744,Accessories,Eyewear,Sunglasses,,,,,,,
6126,Footwear,Shoes,Sports Shoes,,,,,,,
47201,Footwear,Shoes,Formal Shoes,,,,,,,
22696,Footwear,Flip Flops,Flip Flops,,,,,,,
51364,Apparel,Bottomwear,Jeans,,,,,,,
8880,Apparel,Bottomwear,Trousers,,,,,,,
30353,Apparel,Topwear,Tshirts,,,,,,,
2586,Apparel,Topwear,Tshirts,,,,,,,
18539,Footwear,Shoes,Casual Shoes,,,,,,,
54616,Apparel,Innerwear,Briefs,,,,,,,
26236,Apparel,Topwear,Tshirts,,,,,,,
12003,Apparel,Topwear,Shirts,,,,,,,
31281,Apparel,Topwear,Tshirts,,,,,,,
3454,Footwear,Shoes,Sports Shoes,,,,,,,
32404,Apparel,Bottomwear,Trousers,,,,,,,
59935,Footwear,Shoes,Casual Shoes,,,,,,,
11686,Apparel,Topwear,Shirts,,,,,,,
36898,Accessories,Watches,Watches,,,,,,,
56141,Personal Care,Makeup,Eyeshadow,,,,,,,
24561,Apparel,Topwear,Shirts,,,,,,,
57093,Apparel,Bottomwear,Shorts,,,,,,,
10754,Footwear,Flip Flops,Flip Flops,,,,,,,
40024,Apparel,Topwear,Tshirts,,,,,,,
15226,Footwear,Shoes,Casual Shoes,,,,,,,
21013,Accessories,Wallets,Wallets,,,,,,,
4671,Accessories,Bags,Backpacks,,,,,,,
53433,Apparel,Topwear,Tshirts,,,,,,,
25681,Accessories,Watches,Watches,,,,,,,
15828,Apparel,Innerwear,Innerwear Vests,,,,,,,
40216,Accessories,Ties,Ties,,,,,,,
24753,Apparel,Bottomwear,Jeans,,,,,,,
10566,Apparel,Topwear,Tshirts,,,,,,,
4443,Footwear,Shoes,Casual Shoes,,,,,,,
36296,Apparel,Topwear,Kurtas,,,,,,,
45764,Personal Care,Fragrance,Deodorant,,,,,,,
15014,Apparel,Topwear,Jackets,,,,,,,
53601,Accessories,Watches,Watches,,,,,,,
37344,Apparel,Topwear,Tshirts,,,,,,,
6314,Apparel,Topwear,Tshirts,,,,,,,
47033,Apparel,Topwear,Kurtas,,,,,,,
17743,Footwear,Shoes,Sports Shoes,,,,,,,
23576,Personal Care,Fragrance,Perfume and Body Mist,,,,,,,
49995,Apparel,Innerwear,Camisoles,,,,,,,
51156,Accessories,Socks,Socks,,,,,,,
16691,Apparel,Topwear,Sweaters,,,,,,,
26838,Apparel,Bottomwear,Trousers,,,,,,,
30161,Accessories,Wallets,Wallets,,,,,,,
43493,Apparel,Topwear,Tshirts,,,,,,,
42541,Apparel,Topwear,Kurtas,,,,,,,
29870,Accessories,Eyewear,Sunglasses,,,,,,,
3666,Footwear,Shoes,Sports Shoes,,,,,,,
26004,Personal Care,Fragrance,Perfume and Body Mist,,,,,,,
40672,Apparel,Topwear,Shirts,,,,,,,
33380,Accessories,Wallets,Wallets,,,,,,,
38768,Apparel,Topwear,Tshirts,,,,,,,
1555,Accessories,Water Bottle,Water Bottle,,,,,,,
24337,Apparel,Topwear,Tshirts,,,,,,,
10102,Footwear,Shoes,Sports Shoes,,,,,,,
32252,Apparel,Bottomwear,Skirts,,,,,,,
20797,Footwear,Sandal,Sandals,,,,,,,
37720,Apparel,Topwear,Tshirts,,,,,,,
4027,Footwear,Shoes,Casual Shoes,,,,,,,
15470,Apparel,Topwear,Tshirts,,,,,,,
21645,Apparel,Innerwear,Bra,,,,,,,
42919,Accessories,Wallets,Wallets,,,,,,,
51532,Accessories,Watches,Watches,,,,,,,
46585,Footwear,Shoes,Heels,,,,,,,
35077,Accessories,Belts,Belts,,,,,,,
6770,Apparel,Topwear,Tshirts,,,,,,,
47457,Footwear,Shoes,Flats,,,,,,,
17327,Accessories,Eyewear,Sunglasses,,,,,,,
23112,Accessories,Accessories,Accessory Gift Set,,,,,,,
42125,Footwear,Shoes,Casual Shoes,,,,,,,
3202,Apparel,Topwear,Tshirts,,,,,,,
26460,Footwear,Shoes,Casual Shoes,,,,,,,
12655,Apparel,Topwear,Tshirts,,,,,,,
55192,Personal Care,Nails,Nail Polish,,,,,,,
54040,Accessories,Bags,Handbags,,,,,,,
34999,Accessories,Stoles,Stoles,,,,,,,
30505,Apparel,Innerwear,Bra,,,,,,,
9738,Apparel,Topwear,Shirts,,,,,,,
7490,Apparel,Bottomwear,Capris,,,,,,,
35245,Accessories,Socks,Socks,,,,,,,
51700,Accessories,Eyewear,Sunglasses,,,,,,,
17115,Accessories,Bags,Clutches,,,,,,,
23320,Apparel,Topwear,Kurtas,,,,,,,
6542,Apparel,Topwear,Tshirts,,,,,,,
34397,Apparel,Topwear,Tshirts,,,,,,,
18961,Apparel,Topwear,Jackets,,,,,,,
47665,Accessories,Scarves,Scarves,,,,,,,
26652,Footwear,Shoes,Casual Shoes,,,,,,,
12467,Accessories,Ties,Ties,,,,,,,
17929,Apparel,Bottomwear,Track Pants,,,,,,,
30737,Apparel,Topwear,Waistcoat,,,,,,,
27780,Accessories,Wallets,Wallets,,,,,,,
24105,Footwear,Flip Flops,Flip Flops,,,,,,,
10330,Accessories,Belts,Belts,,,,,,,
39488,Accessories,Bags,Backpacks,,,,,,,
41592,Apparel,Topwear,Shirts,,,,,,,
56525,Personal Care,Lips,Lipstick,,,,,,,
37512,Apparel,Socks,Booties,,,,,,,
14790,Accessories,Bags,Handbags,,,,,,,
53057,Apparel,Saree,Sarees,,,,,,,
52185,Accessories,Jewellery,Earrings,,,,,,,
15642,Apparel,Bottomwear,Track Pants,,,,,,,
4215,Apparel,Topwear,Tshirts,,,,,,,
45132,Accessories,Watches,Watches,,,,,,,
40686,Footwear,Shoes,Casual Shoes,,,,,,,
33374,Accessories,Wallets,Wallets,,,,,,,
57631,Personal Care,Nails,Nail Polish,,,,,,,
11024,Apparel,Topwear,Tshirts,,,,,,,
25211,Accessories,Bags,Handbags,,,,,,,
41754,Apparel,Topwear,Tshirts,,,,,,,
20763,Footwear,Shoes,Flats,,,,,,,
14556,Footwear,Shoes,Casual Shoes,,,,,,,
44226,Apparel,Topwear,Tshirts,,,,,,,
5101,Apparel,Topwear,Tshirts,,,,,,,
11818,Footwear,Shoes,Casual Shoes,,,,,,,
15484,Apparel,Bottomwear,Capris,,,,,,,
52343,Apparel,Loungewear and Nightwear,Nightdress,,,,,,,
22034,Apparel,Topwear,Kurtas,,,,,,,
16201,Apparel,Topwear,Tshirts,,,,,,,
7656,Accessories,Socks,Socks,,,,,,,
54888,Accessories,Jewellery,Necklace and Chains,,,,,,,
6784,Apparel,Topwear,Shirts,,,,,,,
49539,Accessories,Bags,Clutches,,,,,,,
31423,Apparel,Topwear,Kurtas,,,,,,,
26494,Apparel,Topwear,Tshirts,,,,,,,
55166,Personal Care,Nails,Nail Polish,,,,,,,
19249,Accessories,Watches,Watches,,,,,,,
27546,Apparel,Topwear,Shirts,,,,,,,
2324,Apparel,Topwear,Tshirts,,,,,,,
43003,Footwear,Shoes,Sports Shoes,,,,,,,
46743,Apparel,Bottomwear,Track Pants,,,,,,,
19847,Apparel,Topwear,Shirts,,,,,,,
22206,Apparel,Topwear,Shirts,,,,,,,
16033,Apparel,Topwear,Shirts,,,,,,,
50626,Apparel,Innerwear,Briefs,,,,,,,
18995,Accessories,Headwear,Caps,,,,,,,
34363,Apparel,Topwear,Tshirts,,,,,,,
55354,Personal Care,Nails,Nail Polish,,,,,,,
12493,Accessories,Bags,Handbags,,,,,,,
31611,Apparel,Topwear,Shirts,,,,,,,
2116,Apparel,Bottomwear,Track Pants,,,,,,,
43231,Footwear,Shoes,Sports Shoes,,,,,,,
13541,Footwear,Shoes,Flats,,,,,,,
27774,Accessories,Wallets,Wallets,,,,,,,
57403,Apparel,Innerwear,Briefs,,,,,,,
1793,Accessories,Bags,Backpacks,,,,,,,
33146,Apparel,Bottomwear,Shorts,,,,,,,
11216,Accessories,Watches,Watches,,,,,,,
25023,Apparel,Topwear,Tshirts,,,,,,,
44014,Personal Care,Fragrance,Perfume and Body Mist,,,,,,,
14764,Apparel,Topwear,Shirts,,,,,,,
59599,Apparel,Saree,Sarees,,,,,,,
21483,Accessories,Watches,Watches,,,,,,,
36434,Footwear,Shoes,Casual Shoes,,,,,,,
50242,Accessories,Bags,Handbags,,,,,,,
17585,Accessories,Eyewear,Sunglasses,,,,,,,
28358,Accessories,Eyewear,Sunglasses,,,,,,,
13919,Footwear,Shoes,Sports Shoes,,,,,,,
46327,Footwear,Shoes,Sports Shoes,,,,,,,
7000,Apparel,Topwear,Tshirts,,,,,,,
22662,Accessories,Bags,Backpacks,,,,,,,
16457,Apparel,Topwear,Shirts,,,,,,,
51390,Apparel,Innerwear,Boxers,,,,,,,
2572,Apparel,Bottomwear,Track Pants,,,,,,,
43655,Apparel,Dress,Jumpsuit,,,,,,,
13125,Footwear,Shoes,Formal Shoes,,,,,,,
31275,Apparel,Topwear,Tshirts,,,,,,,
39018,Accessories,Watches,Watches,,,,,,,
11672,Apparel,Topwear,Shirts,,,,,,,
25447,Footwear,Shoes,Casual Shoes,,,,,,,
24595,Apparel,Topwear,Tshirts,,,,,,,
57067,Apparel,Topwear,Jackets,,,,,,,
20909,Footwear,Shoes,Heels,,,,,,,
33522,Footwear,Shoes,Heels,,,,,,,
52515,Apparel,Innerwear,Camisoles,,,,,,,
39824,Footwear,Sandal,Sandals,,,,,,,
36050,Accessories,Bags,Backpacks,,,,,,,
56989,Footwear,Shoes,Heels,,,,,,,
4685,Accessories,Bags,Backpacks,,,,,,,
44470,Footwear,Shoes,Flats,,,,,,,
5757,Apparel,Topwear,Tops,,,,,,,
20135,Apparel,Topwear,Shirts,,,,,,,
14300,Apparel,Topwear,Tshirts,,,,,,,
11440,Apparel,Topwear,Tops,,,,,,,
25675,Accessories,Watches,Watches,,,,,,,
41330,Apparel,Topwear,Dupatta,,,,,,,
33710,Footwear,Shoes,Casual Shoes,,,,,,,
57255,Accessories,Bags,Handbags,,,,,,,
36262,Apparel,Loungewear and Nightwear,Night suits,,,,,,,
20307,Apparel,Topwear,Sweaters,,,,,,,
14132,Apparel,Topwear,Tshirts,,,,,,,
44642,Apparel,Topwear,Tops,,,,,,,
5565,Apparel,Topwear,Tshirts,,,,,,,
34535,Footwear,Shoes,Formal Shoes,,,,,,,
23582,Personal Care,Fragrance,Deodorant,,,,,,,
49961,Apparel,Topwear,Tshirts,,,,,,,
46115,Footwear,Shoes,Casual Shoes,,,,,,,
7232,Footwear,Shoes,Formal Shoes,,,,,,,
13317,Apparel,Topwear,Sweatshirts,,,,,,,
2740,Apparel,Topwear,Tops,,,,,,,
30195,Accessories,Bags,Backpacks,,,,,,,
43467,Apparel,Loungewear and Nightwear,Night suits,,,,,,,
29884,Accessories,Eyewear,Sunglasses,,,,,,,
3692,Footwear,Shoes,Sports Shoes,,,,,,,
31047,Apparel,Topwear,Shirts,,,,,,,
46929,Personal Care,Fragrance,Perfume and Body Mist,,,,,,,
55502,Personal Care,Lips,Lip Gloss,,,,,,,
46549,Accessories,Watches,Watches,,,,,,,
55962,Personal Care,Lips,Lipstick,,,,,,,
16239,Footwear,Sandal,Sandals,,,,,,,
28536,Apparel,Topwear,Tshirts,,,,,,,
19271,Accessories,Watches,Watches,,,,,,,
12699,Footwear,Shoes,Sports Shoes,,,,,,,
35887,Apparel,Topwear,Tshirts,,,,,,,
22830,Footwear,Shoes,Casual Shoes,,,,,,,
49501,Footwear,Shoes,Casual Shoes,,,,,,,
8626,Accessories,Eyewear,Sunglasses,,,,,,,
34955,Apparel,Saree,Sarees,,,,,,,
57609,Personal Care,Skin Care,Sunscreen,,,,,,,
5905,Footwear,Shoes,Casual Shoes,,,,,,,
1599,Accessories,Bags,Handbags,,,,,,,
39676,Footwear,Shoes,Casual Shoes,,,,,,,
25229,Accessories,Bags,Handbags,,,,,,,
5139,Apparel,Topwear,Tshirts,,,,,,,
58641,Accessories,Socks,Socks,,,,,,,
21689,Accessories,Watches,Watches,,,,,,,
11820,Footwear,Shoes,Casual Shoes,,,,,,,
38596,Apparel,Topwear,Tshirts,,,,,,,
44810,Apparel,Topwear,Tops,,,,,,,
52975,Apparel,Saree,Sarees,,,,,,,
39444,Apparel,Topwear,Tshirts,,,,,,,
33942,Apparel,Topwear,Tshirts,,,,,,,
58473,Accessories,Wallets,Wallets,,,,,,,
25827,Apparel,Topwear,Kurtas,,,,,,,
52149,Apparel,Topwear,Tshirts,,,,,,,
2912,Footwear,Shoes,Heels,,,,,,,
28704,Apparel,Topwear,Kurtas,,,,,,,
49733,Accessories,Ties,Ties,,,,,,,
8414,Apparel,Topwear,Tshirts,,,,,,,
16837,Accessories,Eyewear,Sunglasses,,,,,,,
19043,Footwear,Shoes,Heels,,,,,,,
43209,Accessories,Watches,Watches,,,,,,,
39020,Accessories,Watches,Watches,,,,,,,
20931,Accessories,Bags,Backpacks,,,,,,,
37986,Apparel,Topwear,Tshirts,,,,,,,
36068,Accessories,Bags,Duffel Bag,,,,,,,
41906,Personal Care,Fragrance,Fragrance Gift Set,,,,,,,
14338,Footwear,Shoes,Sports Shoes,,,,,,,
58017,Accessories,Jewellery,Earrings,,,,,,,
44448,Footwear,Sandal,Sandals,,,,,,,
57863,Personal Care,Skin Care,Sunscreen,,,,,,,
13921,Footwear,Shoes,Sports Shoes,,,,,,,
28360,Accessories,Eyewear,Sunglasses,,,,,,,
23788,Accessories,Eyewear,Sunglasses,,,,,,,
7038,Footwear,Shoes,Casual Shoes,,,,,,,
27328,Personal Care,Fragrance,Deodorant,,,,,,,
49357,Footwear,Shoes,Casual Shoes,,,,,,,
3498,Footwear,Shoes,Casual Shoes,,,,,,,
19427,Apparel,Topwear,Shirts,,,,,,,
7804,Footwear,Shoes,Casual Shoes,,,,,,,
30991,Personal Care,Fragrance,Perfume and Body Mist,,,,,,,
28152,Apparel,Innerwear,Innerwear Vests,,,,,,,
27926,Apparel,Bottomwear,Jeans,,,,,,,
29080,Accessories,Belts,Belts,,,,,,,
49959,Apparel,Bottomwear,Shorts,,,,,,,
22468,Apparel,Topwear,Shirts,,,,,,,
31843,Accessories,Watches,Watches,,,,,,,
2778,Apparel,Topwear,Tshirts,,,,,,,
9390,Footwear,Shoes,Casual Shoes,,,,,,,
50874,Apparel,Saree,Sarees,,,,,,,
19615,Apparel,Topwear,Tops,,,,,,,
49165,Personal Care,Makeup,Kajal and Eyeliner,,,,,,,
8242,Footwear,Shoes,Sports Shoes,,,,,,,
39212,Footwear,Shoes,Formal Shoes,,,,,,,
11478,Apparel,Topwear,Tshirts,,,,,,,
14936,Apparel,Bottomwear,Shorts,,,,,,,
33728,Accessories,Belts,Belts,,,,,,,
58225,Apparel,Topwear,Tshirts,,,,,,,
56179,Personal Care,Makeup,Concealer,,,,,,,
21817,Accessories,Wallets,Wallets,,,,,,,
37972,Footwear,Shoes,Flats,,,,,,,
4649,Footwear,Sandal,Sandals,,,,,,,
56945,Footwear,Shoes,Heels,,,,,,,
59131,Apparel,Topwear,Jackets,,,,,,,
57897,Accessories,Scarves,Scarves,,,,,,,
47239,Footwear,Shoes,Casual Shoes,,,,,,,
17549,Apparel,Topwear,Shirts,,,,,,,
28394,Accessories,Eyewear,Sunglasses,,,,,,,
29246,Apparel,Topwear,Tshirts,,,,,,,
12807,Apparel,Topwear,Jackets,,,,,,,
18501,Apparel,Topwear,Tshirts,,,,,,,
9156,Apparel,Topwear,Tops,,,,,,,
43699,Apparel,Topwear,Tops,,,,,,,
8084,Footwear,Shoes,Sports Shoes,,,,,,,
26800,Apparel,Topwear,Shirts,,,,,,,
29074,Accessories,Bags,Backpacks,,,,,,,
30159,Accessories,Wallets,Wallets,,,,,,,
50880,Apparel,Saree,Sarees,,,,,,,
9364,Accessories,Socks,Socks,,,,,,,
18733,Apparel,Topwear,Tops,,,,,,,
12209,Apparel,Topwear,Tshirts,,,,,,,
29848,Apparel,Bottomwear,Trousers,,,,,,,
15810,Apparel,Innerwear,Briefs,,,,,,,
57299,Footwear,Shoes,Heels,,,,,,,
38334,Apparel,Topwear,Tops,,,,,,,
59303,Apparel,Topwear,Shirts,,,,,,,
21219,Apparel,Topwear,Tshirts,,,,,,,
53639,Footwear,Shoes,Casual Shoes,,,,,,,
1935,Accessories,Bags,Backpacks,,,,,,,
55996,Personal Care,Lips,Lipstick,,,,,,,
42921,Accessories,Wallets,Wallets,,,,,,,
29410,Accessories,Watches,Watches,,,,,,,
6748,Footwear,Shoes,Sports Shoes,,,,,,,
26458,Footwear,Shoes,Casual Shoes,,,,,,,
35873,Apparel,Topwear,Tshirts,,,,,,,
19285,Accessories,Watches,Watches,,,,,,,
9700,Footwear,Shoes,Formal Shoes,,,,,,,
48427,Apparel,Topwear,Tshirts,,,,,,,
18357,Accessories,Socks,Socks,,,,,,,
54078,Footwear,Shoes,Sports Shoes,,,,,,,
38750,Accessories,Bags,Backpacks,,,,,,,
39682,Footwear,Shoes,Sports Shoes,,,,,,,
41798,Apparel,Dress,Dresses,,,,,,,
37718,Apparel,Topwear,Tshirts,,,,,,,
59767,Accessories,Jewellery,Earrings,,,,,,,
45338,Footwear,Shoes,Heels,,,,,,,
40478,Footwear,Sandal,Sandals,,,,,,,
38562,Apparel,Bottomwear,Shorts,,,,,,,
10308,Footwear,Shoes,Casual Shoes,,,,,,,
45936,Accessories,Watches,Watches,,,,,,,
52981,Apparel,Saree,Sarees,,,,,,,
58487,Accessories,Wallets,Wallets,,,,,,,
32864,Accessories,Bags,Backpacks,,,,,,,
59555,Accessories,Jewellery,Bangle,,,,,,,
3834,Footwear,Sandal,Sandals,,,,,,,
18959,Apparel,Topwear,Sweaters,,,,,,,
23318,Apparel,Topwear,Kurtas,,,,,,,
55398,Personal Care,Eyes,Mascara,,,,,,,
17911,Apparel,Topwear,Jackets,,,,,,,
9532,Apparel,Topwear,Jackets,,,,,,,
48615,Accessories,Jewellery,Earrings,,,,,,,
25672,Accessories,Watches,Watches,,,,,,,
56380,Personal Care,Fragrance,Perfume and Body Mist,,,,,,,
11447,Apparel,Topwear,Sweaters,,,,,,,
10595,Free Items,Free Gifts,Free Gifts,,,,,,,
57252,Accessories,Bags,Handbags,,,,,,,
33717,Apparel,Bottomwear,Leggings,,,,,,,
45797,Footwear,Shoes,Heels,,,,,,,
36265,Apparel,Loungewear and Nightwear,Night suits,,,,,,,
44645,Apparel,Topwear,Tops,,,,,,,
14135,Accessories,Bags,Handbags,,,,,,,
20300,Apparel,Topwear,Sweaters,,,,,,,
23585,Personal Care,Fragrance,Perfume and Body Mist,,,,,,,
27919,Apparel,Bottomwear,Trousers,,,,,,,
34532,Footwear,Shoes,Formal Shoes,,,,,,,
7235,Footwear,Shoes,Formal Shoes,,,,,,,
46112,Footwear,Shoes,Casual Shoes,,,,,,,
49966,Apparel,Innerwear,Briefs,,,,,,,
22457,Apparel,Bottomwear,Leggings,,,,,,,
48088,Apparel,Topwear,Tops,,,,,,,
28951,Apparel,Topwear,Kurtis,,,,,,,
43460,Apparel,Loungewear and Nightwear,Night suits,,,,,,,
2747,Apparel,Topwear,Tshirts,,,,,,,
30192,Accessories,Bags,Backpacks,,,,,,,
13310,Apparel,Dress,Dresses,,,,,,,
55505,Personal Care,Lips,Lip Gloss,,,,,,,
3695,Footwear,Shoes,Casual Shoes,,,,,,,
51999,Apparel,Loungewear and Nightwear,Nightdress,,,,,,,
31040,Apparel,Topwear,Shirts,,,,,,,
29883,Accessories,Eyewear,Sunglasses,,,,,,,
17582,Accessories,Socks,Socks,,,,,,,
16450,Apparel,Topwear,Shirts,,,,,,,
51397,Apparel,Bottomwear,Shorts,,,,,,,
22665,Accessories,Bags,Waist Pouch,,,,,,,
7007,Apparel,Topwear,Tshirts,,,,,,,
27317,Personal Care,Fragrance,Perfume and Body Mist,,,,,,,
13122,Footwear,Sandal,Sandals,,,,,,,
43652,Apparel,Dress,Dresses,,,,,,,
31272,Apparel,Topwear,Tshirts,,,,,,,
25440,Footwear,Shoes,Casual Shoes,,,,,,,
11675,Apparel,Topwear,Shirts,,,,,,,
33525,Footwear,Shoes,Heels,,,,,,,
57060,Apparel,Dress,Dresses,,,,,,,
24592,Apparel,Topwear,Tshirts,,,,,,,
36057,Accessories,Bags,Messenger Bag,,,,,,,
4682,Accessories,Bags,Backpacks,,,,,,,
41939,Footwear,Flip Flops,Flip Flops,,,,,,,
39823,Footwear,Sandal,Sandals,,,,,,,
52512,Apparel,Loungewear and Nightwear,Bath Robe,,,,,,,
14307,Apparel,Topwear,Sweatshirts,,,,,,,
58028,Accessories,Jewellery,Earrings,,,,,,,
20132,Apparel,Topwear,Tops,,,,,,,
37185,Apparel,Topwear,Tops,,,,,,,
5750,Apparel,Topwear,Tops,,,,,,,
16034,Apparel,Topwear,Shirts,,,,,,,
19840,Apparel,Topwear,Shirts,,,,,,,
7463,Apparel,Topwear,Tshirts,,,,,,,
46744,Apparel,Bottomwear,Capris,,,,,,,
34364,Apparel,Topwear,Tshirts,,,,,,,
18992,Apparel,Topwear,Tshirts,,,,,,,
50621,Apparel,Innerwear,Briefs,,,,,,,
16808,Apparel,Topwear,Shirts,,,,,,,
12494,Apparel,Topwear,Tops,,,,,,,
27773,Accessories,Wallets,Wallets,,,,,,,
13546,Footwear,Shoes,Flats,,,,,,,
43236,Footwear,Shoes,Casual Shoes,,,,,,,
2111,Apparel,Bottomwear,Track Pants,,,,,,,
1794,Accessories,Bags,Backpacks,,,,,,,
33141,Apparel,Topwear,Tshirts,,,,,,,
57404,Apparel,Innerwear,Briefs,,,,,,,
25024,Apparel,Bottomwear,Shorts,,,,,,,
11211,Accessories,Watches,Watches,,,,,,,
14763,Apparel,Topwear,Shirts,,,,,,,
20556,Accessories,Bags,Mobile Pouch,,,,,,,
44013,Personal Care,Fragrance,Perfume and Body Mist,,,,,,,
25818,Apparel,Topwear,Kurtas,,,,,,,
36433,Footwear,Shoes,Casual Shoes,,,,,,,
21484,Accessories,Bags,Handbags,,,,,,,
52176,Accessories,Jewellery,Ring,,,,,,,
57636,Personal Care,Nails,Nail Polish,,,,,,,
33373,Accessories,Bags,Clutches,,,,,,,
41753,Apparel,Topwear,Tshirts,,,,,,,
